timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-08 17:29:33,66,Accident,0.8733,Medium,60.0,827,467,937,551,882,509,8
2026-07-08 17:29:49,72,Accident,0.8521,Medium,57.0,807,470,923,554,865,512,6
2026-07-08 17:30:09,86,Accident,0.8769,Medium,57.0,835,461,972,573,903,517,6
2026-07-08 17:30:19,88,Accident,0.8911,Medium,53.0,834,459,980,578,907,518,4
2026-07-08 17:30:29,90,Accident,0.8764,Medium,55.0,839,455,992,579,915,517,5
2026-07-08 17:30:39,92,Accident,0.8765,Medium,59.0,836,462,999,581,917,521,7
2026-07-08 17:30:53,94,Accident,0.864,Medium,59.0,831,460,1013,585,922,522,7
2026-07-08 17:31:03,96,Accident,0.876,Medium,59.0,819,465,1026,591,922,528,7
2026-07-08 17:31:13,98,Accident,0.9073,Medium,55.0,805,466,1038,597,921,531,5
2026-07-08 17:31:24,100,Accident,0.9185,Medium,57.0,796,461,1048,602,922,531,6
2026-07-08 17:31:34,102,Accident,0.924,Medium,57.0,791,461,1065,606,928,533,6
2026-07-08 17:31:43,104,Accident,0.912,Medium,57.0,786,467,1071,611,928,539,6
2026-07-08 17:32:04,120,Accident,0.882,Medium,51.0,721,472,921,641,821,556,3
