timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-06-29 15:20:37,4,Accident,0.7358,Medium,57.3,415,156,512,289,463,222,21
2026-06-29 15:20:50,8,Accident,0.7088,Medium,52.8,435,161,522,296,478,228,24
2026-06-29 15:20:51,10,Accident,0.7496,Medium,59.9,444,164,531,301,487,232,21
2026-06-29 15:20:51,12,Accident,0.6565,Low,44.1,418,166,538,305,478,235,24
2026-06-29 15:20:52,14,Accident,0.6827,Low,48.5,389,165,546,311,467,238,21
2026-06-29 15:20:53,16,Accident,0.7862,Medium,60.0,394,169,562,318,478,243,20
2026-06-29 15:20:54,18,Accident,0.7422,Medium,58.5,402,170,568,327,485,248,23
2026-06-29 15:20:55,20,Accident,0.7407,Medium,58.2,763,129,980,311,871,220,23
2026-06-29 15:20:56,22,Accident,0.8343,Medium,60.0,417,182,593,345,505,263,23
2026-06-29 15:20:56,22,Accident,0.8087,Medium,60.0,779,129,1010,326,894,227,23
2026-06-29 15:20:57,24,Accident,0.7851,Medium,60.0,789,135,1024,333,906,234,27
2026-06-29 15:20:57,24,Accident,0.6928,Medium,60.0,424,192,604,354,514,273,27
2026-06-29 15:20:58,26,Accident,0.8036,Medium,60.0,429,199,619,359,524,279,27
2026-06-29 15:20:58,26,Accident,0.7737,Medium,60.0,799,141,1043,338,921,239,27
2026-06-29 15:20:58,28,Accident,0.7174,Medium,54.2,441,207,641,381,541,294,28
2026-06-29 15:20:59,30,Accident,0.6786,Low,47.9,948,99,1095,208,1021,153,26
2026-06-29 15:21:04,42,Accident,0.7769,Medium,60.0,991,111,1159,213,1075,162,23
2026-06-29 15:21:05,44,Accident,0.6669,Low,45.9,1002,110,1170,218,1086,164,20
2026-06-29 15:21:06,46,Accident,0.7599,Medium,60.0,1010,112,1187,231,1098,171,22
2026-06-29 15:21:07,48,Accident,0.6638,Low,45.4,1017,81,1199,242,1108,161,21
2026-06-29 15:21:10,56,Accident,0.6673,Low,46.0,584,280,739,381,661,330,21
2026-06-29 15:21:11,58,Accident,0.78,Medium,60.0,589,280,785,398,687,339,28
2026-06-29 15:21:12,60,Accident,0.7742,Medium,60.0,589,280,786,398,687,339,28
2026-06-29 15:21:13,62,Accident,0.8846,Medium,60.0,595,286,776,402,685,344,25
2026-06-29 15:21:13,64,Accident,0.8911,Medium,60.0,597,287,778,404,687,345,25
2026-06-29 15:21:14,66,Accident,0.8708,Medium,60.0,604,292,787,408,695,350,28
2026-06-29 15:21:15,68,Accident,0.8812,Medium,60.0,606,295,796,409,701,352,27
2026-06-29 15:21:16,70,Accident,0.8964,Medium,60.0,611,300,808,412,709,356,28
2026-06-29 15:21:17,72,Accident,0.8644,Medium,60.0,615,301,824,416,719,358,29
2026-06-29 15:21:18,74,Accident,0.8649,Medium,60.0,615,301,824,416,719,358,28
2026-06-29 15:21:19,76,Accident,0.8819,Medium,60.0,613,301,833,416,723,358,23
2026-06-29 15:21:19,78,Accident,0.8825,Medium,60.0,613,302,833,416,723,359,24
2026-06-29 15:21:20,80,Accident,0.887,Medium,60.0,614,301,837,416,725,358,27
2026-06-29 15:21:21,82,Accident,0.8819,Medium,60.0,615,300,837,416,726,358,24
2026-06-29 15:21:22,84,Accident,0.8681,Medium,60.0,617,300,838,417,727,358,27
2026-06-29 15:21:23,86,Accident,0.8736,Medium,60.0,619,300,838,416,728,358,27
2026-06-29 15:21:23,88,Accident,0.8867,Medium,60.0,623,300,839,414,731,357,22
2026-06-29 15:21:24,90,Accident,0.891,Medium,60.0,624,298,839,414,731,356,28
2026-06-29 15:21:25,92,Accident,0.8909,Medium,60.0,625,296,839,413,732,354,26
2026-06-29 15:21:26,94,Accident,0.8893,Medium,60.0,624,293,839,413,731,353,28
2026-06-29 15:21:27,96,Accident,0.8831,Medium,60.0,625,291,838,412,731,351,28
