timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-08 20:01:21,6,Accident,0.8663,Medium,47.0,18,148,403,375,210,261,1
2026-07-08 20:01:25,8,Accident,0.885,Medium,47.0,17,154,386,376,201,265,1
2026-07-08 20:01:30,10,Accident,0.8734,Medium,47.0,18,152,399,382,208,267,1
2026-07-08 20:01:34,12,Accident,0.8759,Medium,49.0,19,145,432,387,225,266,2
2026-07-08 20:01:38,16,Accident,0.8683,Medium,47.0,24,158,416,395,220,276,1
2026-07-08 20:01:43,22,Accident,0.9017,Medium,49.0,94,161,376,401,235,281,2
2026-07-08 20:01:49,32,Accident,0.8113,Medium,54.7,24,170,829,429,426,299,1
2026-07-08 20:01:54,38,Accident,0.8912,Medium,48.4,40,162,769,427,404,294,1
2026-07-08 20:01:59,40,Accident,0.9138,Medium,48.2,53,170,786,433,419,301,1
2026-07-08 20:02:03,42,Accident,0.9225,Medium,47.0,82,173,736,441,409,307,1
2026-07-08 20:02:07,44,Accident,0.9215,Medium,47.0,117,170,736,441,426,305,1
2026-07-08 20:02:12,46,Accident,0.9198,Medium,47.0,193,164,745,440,469,302,1
2026-07-08 20:02:16,48,Accident,0.9415,Medium,49.0,217,159,753,440,485,299,2
2026-07-08 20:02:20,50,Accident,0.9571,Medium,47.0,277,149,762,449,519,299,1
2026-07-08 20:02:25,52,Accident,0.9416,Medium,47.0,311,131,751,451,531,291,1
2026-07-08 20:02:29,54,Accident,0.9523,Medium,45.0,279,131,773,463,526,297,0
2026-07-08 20:02:33,56,Accident,0.9522,Medium,45.0,279,131,773,463,526,297,0
2026-07-08 20:02:38,58,Accident,0.9418,Medium,47.0,230,144,797,464,513,304,1
