timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-06-29 17:30:39,18,Accident,0.789,Medium,60.0,665,90,852,309,758,199,23
2026-06-29 17:30:42,26,Accident,0.8228,Medium,60.0,685,120,918,342,801,231,23
2026-06-29 17:30:43,28,Accident,0.7625,Medium,60.0,689,121,935,351,812,236,23
2026-06-29 17:30:49,42,Accident,0.7677,Medium,60.0,747,127,923,282,835,204,22
2026-06-29 17:30:51,46,Accident,0.8208,Medium,60.0,415,165,574,311,494,238,22
2026-06-29 17:30:54,52,Accident,0.8092,Medium,60.0,433,177,610,333,521,255,23
2026-06-29 17:30:54,52,Accident,0.8061,Medium,60.0,791,134,1007,314,899,224,23
2026-06-29 17:30:55,56,Accident,0.81,Medium,60.0,817,136,1053,335,935,235,22
2026-06-29 17:30:55,56,Accident,0.7655,Medium,60.0,451,189,632,353,541,271,22
2026-06-29 17:30:56,58,Accident,0.7941,Medium,60.0,457,193,647,363,552,278,22
2026-06-29 17:30:57,60,Accident,0.7529,Medium,60.0,470,193,672,384,571,288,22
2026-06-29 17:31:06,82,Accident,0.7753,Medium,60.0,1051,117,1239,249,1145,183,20
2026-06-29 17:31:08,88,Accident,0.7676,Medium,60.0,613,279,764,386,688,332,21
