timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-06-29 17:32:05,18,Accident,0.789,Medium,60.0,665,90,852,309,758,199,23
2026-06-29 17:32:06,20,Accident,0.7437,Medium,58.8,667,90,864,317,765,203,21
2026-06-29 17:32:07,24,Accident,0.669,Low,46.3,679,119,903,329,791,224,23
2026-06-29 17:32:08,26,Accident,0.8228,Medium,60.0,685,120,918,342,801,231,23
2026-06-29 17:32:09,28,Accident,0.7625,Medium,60.0,689,121,935,351,812,236,23
2026-06-29 17:32:12,36,Accident,0.7035,Medium,51.9,440,155,543,290,491,222,18
2026-06-29 17:32:13,40,Accident,0.6608,Low,44.8,350,161,552,363,451,262,22
2026-06-29 17:32:14,42,Accident,0.7677,Medium,60.0,747,127,923,282,835,204,22
2026-06-29 17:32:27,44,Accident,0.7065,Medium,52.4,412,165,568,309,490,237,21
2026-06-29 17:32:28,46,Accident,0.8208,Medium,60.0,415,165,574,311,494,238,22
2026-06-29 17:32:30,52,Accident,0.8092,Medium,60.0,433,177,610,333,521,255,23
2026-06-29 17:32:30,52,Accident,0.8061,Medium,60.0,791,134,1007,314,899,224,23
2026-06-29 17:32:31,54,Accident,0.7483,Medium,60.0,452,181,622,346,537,263,21
2026-06-29 17:32:31,54,Accident,0.6917,Medium,60.0,809,136,1037,326,923,231,21
2026-06-29 17:32:32,56,Accident,0.81,Medium,60.0,817,136,1053,335,935,235,22
2026-06-29 17:32:32,56,Accident,0.7655,Medium,60.0,451,189,632,353,541,271,22
2026-06-29 17:32:33,58,Accident,0.7941,Medium,60.0,457,193,647,363,552,278,22
2026-06-29 17:32:34,60,Accident,0.7529,Medium,60.0,470,193,672,384,571,288,22
2026-06-29 17:32:35,62,Accident,0.6621,Low,45.1,861,135,1130,366,995,250,22
2026-06-29 17:32:35,64,Accident,0.7209,Medium,60.0,485,216,697,403,591,309,19
2026-06-29 17:32:35,64,Accident,0.6973,Medium,60.0,876,151,1151,375,1013,263,19
2026-06-29 17:32:41,78,Accident,0.7043,Medium,52.0,1040,115,1219,231,1129,173,17
2026-06-29 17:32:42,80,Accident,0.7399,Medium,58.1,1045,120,1227,245,1136,182,20
2026-06-29 17:32:43,82,Accident,0.7753,Medium,60.0,1051,117,1239,249,1145,183,20
2026-06-29 17:32:44,84,Accident,0.7345,Medium,57.1,1065,121,1258,247,1161,184,20
2026-06-29 17:32:44,86,Accident,0.7224,Medium,55.0,1069,122,1270,248,1169,185,18
2026-06-29 17:32:45,88,Accident,0.7676,Medium,60.0,613,279,764,386,688,332,21
2026-06-29 17:32:46,90,Accident,0.6756,Low,47.4,617,282,809,398,713,340,26
2026-06-29 17:32:47,92,Accident,0.8704,Medium,60.0,622,284,804,400,713,342,26
2026-06-29 17:32:47,94,Accident,0.8714,Medium,60.0,626,291,805,404,715,347,24
2026-06-29 17:32:48,96,Accident,0.8737,Medium,60.0,629,294,815,409,722,351,24
2026-06-29 17:32:49,98,Accident,0.8862,Medium,60.0,633,297,818,410,725,353,26
2026-06-29 17:32:50,100,Accident,0.8935,Medium,60.0,636,298,823,412,729,355,27
2026-06-29 17:32:51,102,Accident,0.8786,Medium,60.0,640,302,839,416,739,359,30
2026-06-29 17:32:52,104,Accident,0.8688,Medium,60.0,643,302,845,416,744,359,29
2026-06-29 17:32:52,106,Accident,0.8668,Medium,60.0,643,304,853,418,748,361,27
2026-06-29 17:32:53,108,Accident,0.8775,Medium,60.0,643,305,861,419,752,362,26
2026-06-29 17:32:54,110,Accident,0.8851,Medium,60.0,643,306,865,419,754,362,25
2026-06-29 17:32:55,112,Accident,0.8923,Medium,60.0,643,306,868,419,755,362,27
2026-06-29 17:32:56,114,Accident,0.901,Medium,60.0,644,304,870,420,757,362,27
2026-06-29 17:32:56,116,Accident,0.8966,Medium,60.0,648,304,871,421,759,362,30
2026-06-29 17:32:57,118,Accident,0.8965,Medium,60.0,648,304,871,421,759,362,29
2026-06-29 17:32:58,120,Accident,0.8956,Medium,60.0,650,304,870,418,760,361,24
2026-06-29 17:32:59,122,Accident,0.9026,Medium,60.0,651,301,870,418,760,359,28
2026-06-29 17:33:00,124,Accident,0.9023,Medium,60.0,653,298,870,417,761,357,27
2026-06-29 17:33:00,126,Accident,0.8907,Medium,60.0,654,292,870,416,762,354,27
2026-06-29 17:33:01,128,Accident,0.8902,Medium,60.0,651,292,870,416,760,354,25
2026-06-29 17:33:02,130,Accident,0.8882,Medium,60.0,652,291,870,417,761,354,28
2026-06-29 17:33:03,132,Accident,0.88,Medium,60.0,659,292,870,417,764,354,28
2026-06-29 17:33:03,134,Accident,0.8814,Medium,60.0,658,294,870,417,764,355,25
2026-06-29 17:33:04,136,Accident,0.8827,Medium,60.0,660,293,871,417,765,355,27
2026-06-29 17:33:05,138,Accident,0.8821,Medium,60.0,659,291,870,417,764,354,26
2026-06-29 17:33:06,140,Accident,0.8791,Medium,60.0,658,291,871,417,764,354,25
2026-06-29 17:33:07,142,Accident,0.8756,Medium,60.0,658,290,871,418,764,354,26
2026-06-29 17:33:08,144,Accident,0.8788,Medium,60.0,658,291,871,417,764,354,25
2026-06-29 17:33:09,146,Accident,0.8769,Medium,60.0,657,290,871,417,764,353,28
2026-06-29 17:33:09,148,Accident,0.88,Medium,60.0,658,290,871,417,764,353,26
2026-06-29 17:33:10,150,Accident,0.879,Medium,60.0,657,291,871,417,764,354,25
2026-06-29 17:33:11,152,Accident,0.8786,Medium,60.0,658,290,871,417,764,353,26
2026-06-29 17:33:12,154,Accident,0.8816,Medium,60.0,658,290,870,416,764,353,28
2026-06-29 17:33:13,156,Accident,0.8772,Medium,60.0,658,289,870,415,764,352,26
2026-06-29 17:33:13,156,Accident,0.6784,Medium,60.0,1103,155,1231,243,1167,199,26
2026-06-29 17:33:13,158,Accident,0.8798,Medium,60.0,658,289,870,415,764,352,26
2026-06-29 17:33:13,158,Accident,0.7763,Medium,60.0,1114,152,1231,243,1172,197,26
2026-06-29 17:33:14,160,Accident,0.8791,Medium,60.0,659,289,870,415,764,352,27
2026-06-29 17:33:14,160,Accident,0.7857,Medium,60.0,1124,154,1239,246,1181,200,27
2026-06-29 17:33:15,162,Accident,0.8852,Medium,60.0,660,290,869,415,764,352,28
2026-06-29 17:33:15,162,Accident,0.7671,Medium,60.0,1148,155,1255,249,1201,202,28
2026-06-29 17:33:16,164,Accident,0.8823,Medium,60.0,660,290,869,416,764,353,30
2026-06-29 17:33:17,166,Accident,0.8802,Medium,60.0,660,292,869,417,764,354,31
2026-06-29 17:33:17,168,Accident,0.877,Medium,60.0,661,291,869,418,765,354,29
2026-06-29 17:33:18,170,Accident,0.8783,Medium,60.0,661,293,869,418,765,355,23
2026-06-29 17:33:19,172,Accident,0.88,Medium,60.0,661,294,869,418,765,356,26
2026-06-29 17:33:20,174,Accident,0.8916,Medium,60.0,661,294,869,418,765,356,27
