timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-10 10:01:57,82,Accident,0.8985,Medium,66.2,0,381,416,644,208,512,0
2026-07-10 10:02:03,84,Accident,0.8997,Medium,59.4,129,394,455,600,292,497,0
2026-07-10 10:02:08,86,Accident,0.9402,High,80.7,1,253,506,627,253,440,0
2026-07-10 10:02:14,88,Accident,0.8077,Medium,53.0,226,405,535,569,380,487,0
2026-07-10 10:02:20,90,Accident,0.7563,Medium,50.7,279,382,559,558,419,470,0
2026-07-10 10:02:24,92,Accident,0.9104,Medium,56.8,324,362,582,551,453,456,0
2026-07-10 10:02:29,94,Accident,0.8237,Medium,53.2,329,367,602,542,465,454,0
