timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-09 13:01:51,34,Accident,0.2757,Low,16.6,738,455,810,593,774,524,0
2026-07-09 13:02:01,78,Accident,0.3108,Low,16.6,786,466,940,577,863,521,0
2026-07-09 13:02:07,86,Accident,0.2034,Low,16.6,825,459,978,583,901,521,0
2026-07-09 13:02:13,96,Accident,0.267,Low,16.6,813,468,1031,601,922,534,0
2026-07-09 13:02:19,98,Accident,0.2469,Low,16.6,794,472,1040,604,917,538,0
2026-07-09 13:02:23,100,Accident,0.2668,Low,16.6,788,469,1056,610,922,539,0
2026-07-09 13:02:28,102,Accident,0.1904,Low,16.6,785,486,916,608,850,547,0
2026-07-09 13:02:33,104,Accident,0.1762,Low,17.7,773,461,1092,623,932,542,0
2026-07-09 13:02:33,104,Accident,0.1576,Low,17.7,779,487,907,617,843,552,0
2026-07-09 13:02:39,106,Accident,0.1896,Low,16.6,755,465,1102,628,928,546,0
2026-07-09 13:02:44,108,Accident,0.3049,Low,17.7,752,492,895,634,823,563,0
2026-07-09 13:02:44,108,Accident,0.1775,Low,17.7,901,473,1091,614,996,543,0
2026-07-09 13:02:49,110,Accident,0.4038,Low,16.7,751,493,889,636,820,564,0
2026-07-09 13:02:54,112,Accident,0.5435,Low,25.4,745,492,886,640,815,566,0
2026-07-09 13:02:54,112,Accident,0.2786,Low,25.4,923,476,1119,623,1021,549,0
2026-07-09 13:03:00,114,Accident,0.6751,Medium,45.0,938,474,1136,625,1037,549,0
2026-07-09 13:03:00,114,Accident,0.4838,Medium,45.0,737,497,885,650,811,573,0
2026-07-09 13:03:05,116,Accident,0.5199,Low,29.5,962,464,1169,627,1065,545,0
2026-07-09 13:03:05,116,Accident,0.4042,Low,29.5,737,488,889,653,813,570,0
2026-07-09 13:03:10,118,Accident,0.5683,Low,16.9,992,460,1207,623,1099,541,0
2026-07-09 13:03:15,120,Accident,0.7893,Medium,45.0,730,475,920,653,825,564,0
2026-07-09 13:03:21,122,Accident,0.7498,Medium,45.0,762,473,944,649,853,561,0
2026-07-09 13:03:25,124,Accident,0.4501,Low,17.7,780,467,963,638,871,552,0
2026-07-09 13:03:30,126,Accident,0.4757,Low,17.8,788,471,986,636,887,553,0
2026-07-09 13:03:35,128,Accident,0.6268,Low,23.4,808,459,1005,635,906,547,0
2026-07-09 13:03:41,130,Accident,0.7843,Medium,45.0,773,439,1032,635,902,537,0
2026-07-09 13:03:46,132,Accident,0.827,Medium,45.0,815,437,1065,639,940,538,0
2026-07-09 13:03:50,134,Accident,0.7831,Medium,45.0,828,421,1098,632,963,526,0
2026-07-09 13:03:56,136,Accident,0.8079,Medium,45.0,856,433,1114,638,985,535,0
2026-07-09 13:04:02,138,Accident,0.7923,Medium,45.0,872,483,1132,634,1002,558,0
2026-07-09 13:04:07,140,Accident,0.7213,Medium,39.8,873,494,1143,631,1008,562,0
2026-07-09 13:04:12,142,Accident,0.7701,Medium,45.0,874,491,1152,635,1013,563,0
2026-07-09 13:04:17,144,Accident,0.8271,Medium,45.0,868,487,1155,649,1011,568,0
2026-07-09 13:04:20,146,Accident,0.8279,Medium,45.0,854,497,1154,666,1004,581,0
2026-07-09 13:04:22,148,Accident,0.8399,Medium,45.0,831,537,1148,710,989,623,0
2026-07-09 13:04:24,150,Accident,0.8268,Medium,45.0,806,555,1138,746,972,650,0
2026-07-09 13:04:25,152,Accident,0.8441,Medium,45.0,788,573,1127,772,957,672,0
