timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-09 12:55:03,8,Accident,0.9071,Medium,45.0,336,175,533,347,434,261,0
2026-07-09 12:55:07,10,Accident,0.9515,Medium,45.0,343,170,540,355,441,262,0
2026-07-09 12:55:11,12,Accident,0.9336,Medium,45.0,352,175,551,368,451,271,0
2026-07-09 12:55:16,14,Accident,0.9334,Medium,45.0,352,175,551,368,451,271,0
2026-07-09 12:55:20,16,Accident,0.9417,Medium,45.0,362,175,558,383,460,279,0
2026-07-09 12:55:22,18,Accident,0.9411,Medium,45.0,368,176,564,392,466,284,0
2026-07-09 12:55:23,20,Accident,0.9215,Medium,45.0,372,178,572,401,472,289,0
2026-07-09 12:55:29,64,Accident,0.9304,Medium,45.0,779,125,1077,371,928,248,0
2026-07-09 12:55:31,66,Accident,0.9232,Medium,45.0,785,122,1090,383,937,252,0
2026-07-09 12:55:32,68,Accident,0.913,Medium,45.0,801,132,1114,404,957,268,0
