timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-09 12:42:02,4,Accident,0.8146,Medium,45.0,328,173,524,335,426,254,0
2026-07-09 12:42:06,8,Accident,0.9071,Medium,45.0,336,175,533,347,434,261,0
2026-07-09 12:42:11,10,Accident,0.9515,Medium,45.0,343,170,540,355,441,262,0
2026-07-09 12:42:15,12,Accident,0.9336,Medium,45.0,352,175,551,368,451,271,0
2026-07-09 12:42:19,14,Accident,0.9334,Medium,45.0,352,175,551,368,451,271,0
2026-07-09 12:42:23,16,Accident,0.9417,Medium,45.0,362,175,558,383,460,279,0
2026-07-09 12:42:27,18,Accident,0.9411,Medium,45.0,368,176,564,392,466,284,0
2026-07-09 12:42:31,20,Accident,0.9215,Medium,45.0,372,178,572,401,472,289,0
2026-07-09 12:42:36,22,Accident,0.8462,Medium,45.0,382,184,591,416,486,300,0
2026-07-09 12:42:40,24,Accident,0.8547,Medium,45.0,387,185,596,425,491,305,0
2026-07-09 12:42:45,32,Accident,0.777,Medium,45.0,830,159,1068,332,949,245,0
2026-07-09 12:42:50,42,Accident,0.864,Medium,45.0,933,107,1254,410,1093,258,0
2026-07-09 12:42:53,44,Accident,0.8629,Medium,45.0,933,107,1254,409,1093,258,0
2026-07-09 12:42:57,46,Accident,0.8461,Medium,45.0,968,106,1309,436,1138,271,0
2026-07-09 12:43:01,50,Accident,0.7986,Medium,45.0,696,100,940,347,818,223,0
2026-07-09 12:43:06,62,Accident,0.8037,Medium,48.2,759,115,1050,366,904,240,0
2026-07-09 12:43:06,62,Accident,0.7969,Medium,48.2,1082,128,1282,268,1182,198,0
2026-07-09 12:43:10,64,Accident,0.9304,Medium,45.0,779,125,1077,371,928,248,0
2026-07-09 12:43:14,66,Accident,0.9232,Medium,45.0,785,122,1090,383,937,252,0
2026-07-09 12:43:18,68,Accident,0.913,Medium,45.0,801,132,1114,404,957,268,0
2026-07-09 12:43:22,70,Accident,0.8726,Medium,45.0,808,148,1129,413,968,280,0
